filename, function, length
src/game/spectrum.c, spectrum_hw_emulation, 62756
src/game/chrobjhandler.c, object_interaction, 18564
src/game/gun.c, handle_weapon_id_values_possibly_1st_person_animation, 9020
src/game/mp_watch.c, mp_watch_menu_display, 8228
src/game/gun.c, handles_firing_or_throwing_weapon_in_hand, 6488
src/game/prop.c, proplvreset2, 4816
src/game/front.c, constructor_menu18_displaycast, 4212
src/game/othermodemicrocode.c, likely_generate_DL_for_image_declaration, 3664
src/game/gun.c, sub_GAME_7F06359C, 3528
src/game/watch.c, sub_GAME_7F0A9AB8, 3344
src/game/gun.c, sub_GAME_7F061E18, 3304
src/game/chrobjhandler.c, process_monitor_animation_microcode, 3288
src/game/lvl.c, lvlManageMpGame, 3192
src/game/chr.c, sub_GAME_7F020EF0, 3120
src/game/bondview.c, sub_GAME_7F08B0F0, 3016
src/snd.c, sndHandleEvent, 2760
src/game/bg.c, sub_GAME_7F0B7010, 2664
src/game/explosions.c, sub_GAME_7F0A108C, 2568
src/game/textrelated.c, construct_fontchar_microcode, 2500
src/game/explosions.c, sub_GAME_7F09DDA4, 2396
src/game/model.c, modelSetAnimFrame2WithChrStuff, 2304
src/game/watch.c, draw_watch_mission_briefing_page, 2240
src/game/objecthandler.c, sub_GAME_7F06B29C, 2188
src/game/chrprop.c, sub_GAME_7F03ECC0, 2176
src/game/front.c, init_menu18_displaycast, 2172
src/fr.c, video_related_8, 2156
src/game/chrprop.c, chraiDefaultWeaponFireHandler, 2148
src/game/chrobjhandler.c, bgTestHitOnObj, 2116
src/game/explosions.c, sub_GAME_7F0A027C, 2104
src/game/gun.c, sub_GAME_7F068508, 2072
src/game/chrobjhandler.c, sub_GAME_7F052D8C, 2060
src/game/chrobjhandler.c, handles_projectile_motion, 1984
src/game/bondview.c, solo_char_load, 1968
src/game/bondview.c, sub_GAME_7F087E74, 1956
src/game/explosions.c, sub_GAME_7F09E8AC, 1776
src/game/watch.c, draw_watch_inventory_page, 1772
src/game/watch.c, sub_GAME_7F0AADC0, 1740
src/game/chrobjhandler.c, sub_GAME_7F04B610, 1740
src/game/bg.c, load_bg_file, 1724
src/game/textrelated.c, sub_GAME_7F0ADDAC, 1712
src/game/chrobjhandler.c, sub_GAME_7F044B38, 1700
src/game/front.c, constructor_menu0F_mpcharsel, 1692
src/libultrare/audio/env.s, alEnvmixerPull, 1668
src/game/unk_0CC4C0.c, process_microcode_sort_display_modes_expand_image_calls, 1660
src/game/chrobjhandler.c, object_collectability_routines, 1620
src/game/model.c, sub_GAME_7F074CAC, 1616
src/game/gun.c, generate_ammo_total_microcode, 1600
src/game/unk_0A1DA0.c, sub_GAME_7F0A3F04, 1572
src/game/chrobjhandler.c, maybe_detonate_object, 1560
src/game/bg.c, parse_global_vis_command_list, 1552
src/game/bondview.c, sub_GAME_7F08AAE8, 1544
src/game/explosions.c, sub_GAME_7F09CEE8, 1540
src/game/chr.c, sub_GAME_7F01F614, 1532
src/game/unk_092E50.c, sub_GAME_7F092E50, 1516
src/game/unk_092890.c, sub_GAME_7F092890, 1472
src/game/mp_music.c, set_missionstate, 1472
src/game/watch.c, sub_GAME_7F0A5B80, 1436
src/game/unk_0A1DA0.c, sub_GAME_7F0A33F8, 1408
src/game/explosions.c, sub_GAME_7F09D82C, 1400
src/game/explosions.c, explosionCreate, 1372
src/game/chr.c, sub_GAME_7F02083C, 1368
src/game/model.c, doshadow, 1344
src/game/radar.c, display_red_blue_on_radar, 1344
src/game/bondview.c, sub_GAME_7F088CD8, 1328
src/game/chrobjhandler.c, sub_GAME_7F04AC20, 1328
src/game/unk_01BAE0.c, sub_GAME_7F01BAE0, 1304
src/game/explosions.c, sub_GAME_7F09C9D8, 1296
src/game/initpathtablelinks.c, init_path_table_links, 1280
src/game/unk_091080.c, sub_GAME_7F091080, 1280
src/game/watch.c, sub_GAME_7F0A611C, 1276
src/game/gun.c, microcode_generation_ammo_related, 1276
